request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_80,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 217500 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 121300.
request_81,1819.79,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 2076 by the desired completion date or within the 90-day forecast. At most 1819.79 is safe today while keeping the protected minimum balance of 1600.
request_82,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1405.2 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1100.
request_83,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 156200 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 37800.
request_84,4016.46,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Full payment of 95400 becomes safe on 2026-06-15, before the deadline 2026-06-15, and keeps the balance at or above 91300."
request_85,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 19304000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 6396300.
request_86,21888.53,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 46300 by the desired completion date or within the 90-day forecast. At most 21888.53 is safe today while keeping the protected minimum balance of 84900.
request_87,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 487900 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 185900.
request_88,7560.01,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 26092 by the desired completion date or within the 90-day forecast. At most 7560.01 is safe today while keeping the protected minimum balance of 25800.
request_89,4824555.22,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 13756000 by the desired completion date or within the 90-day forecast. At most 4824555.22 is safe today while keeping the protected minimum balance of 12534700.
request_90,994.36,affordable_with_plan,full_payment,2026-07-06:2560,,reduce_to:event_8438:193.6|reduce_to:event_8439:234.96,"Paying 2560 in full today is safe after reduce_to:event_8438:193.6, reduce_to:event_8439:234.96, keeping the balance at or above 7600 through 2026-10-04. Without spending changes only 994.36 is safe today."
request_91,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1927.2 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 2100.
request_92,31327.96,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 34034 by the desired completion date or within the 90-day forecast. At most 31327.96 is safe today while keeping the protected minimum balance of 28100.
request_93,1460.6,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1729.2 by the desired completion date or within the 90-day forecast. At most 1460.6 is safe today while keeping the protected minimum balance of 1900.
request_94,188.47,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 572 by the desired completion date or within the 90-day forecast. At most 188.47 is safe today while keeping the protected minimum balance of 600.
request_95,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 553000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 145500.
request_96,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 90200 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 56500.
request_97,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 23496 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 29700.
request_98,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 27148 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 30000.
request_99,9804.39,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 18062 by the desired completion date or within the 90-day forecast. At most 9804.39 is safe today while keeping the protected minimum balance of 49100.
request_100,11498.3,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 37114 by the desired completion date or within the 90-day forecast. At most 11498.3 is safe today while keeping the protected minimum balance of 32500.
request_101,129331.51,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 143500 by the desired completion date or within the 90-day forecast. At most 129331.51 is safe today while keeping the protected minimum balance of 187400.
request_102,1119.56,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1716 by the desired completion date or within the 90-day forecast. At most 1119.56 is safe today while keeping the protected minimum balance of 900.
request_103,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 368300 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 125500.
request_104,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 17204 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 24700.
request_105,4744.1,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 53500 by the desired completion date or within the 90-day forecast. At most 4744.1 is safe today while keeping the protected minimum balance of 73900.
request_106,316.54,affordable_later,wait,2025-02-15:2207.7,2025-02-15,none,"Full payment of 2207.7 becomes safe on 2025-02-15, before the deadline 2025-02-15, and keeps the balance at or above 1200."
request_107,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 2534.4 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1600.
request_108,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 55308 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 24100.
request_109,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1863.4 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1700.
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use payment option payment_option_310: 3 payments of 7748.69 starting 2025-08-06, total 23246.07, completing 2025-10-01 while keeping at least 11200."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Paying 16625000 in full today keeps the balance at or above 23022800 through 2026-07-02.
request_112,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 271.7 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 500.
request_113,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 36500 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 82300.
request_114,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 65300 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 113400.
request_115,8872.24,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Full payment of 80500 becomes safe on 2024-11-15, before the deadline 2024-11-15, and keeps the balance at or above 38800."
request_116,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 241200 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 80300.
request_117,730.48,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 880 by the desired completion date or within the 90-day forecast. At most 730.48 is safe today while keeping the protected minimum balance of 1000.
request_118,376.1,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 738.1 by the desired completion date or within the 90-day forecast. At most 376.1 is safe today while keeping the protected minimum balance of 600.
request_119,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 203500 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 151200.
request_120,3352479.8,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 7714000 by the desired completion date or within the 90-day forecast. At most 3352479.8 is safe today while keeping the protected minimum balance of 20050300.
request_121,458.24,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 633.6 by the desired completion date or within the 90-day forecast. At most 458.24 is safe today while keeping the protected minimum balance of 800.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use payment option payment_option_347: 3 payments of 7126773.33 starting 2025-08-05, total 21380319.99, completing 2025-09-30 while keeping at least 12588500."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Paying 4076000 in full today keeps the balance at or above 18091200 through 2026-04-07.
request_124,1126.69,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 3104.2 by the desired completion date or within the 90-day forecast. At most 1126.69 is safe today while keeping the protected minimum balance of 1600.
request_125,3107.12,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 6468 by the desired completion date or within the 90-day forecast. At most 3107.12 is safe today while keeping the protected minimum balance of 11300.
request_126,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 159600 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 129700.
request_127,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 23980 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 41000.
request_128,20430.62,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 25168 by the desired completion date or within the 90-day forecast. At most 20430.62 is safe today while keeping the protected minimum balance of 42600.
request_129,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 2668.8 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 800.
request_130,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1978.8 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1400.
request_131,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1855.2 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1100.
request_132,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 379.86 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1100.
request_133,15770000,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 15770000 by the desired completion date or within the 90-day forecast. At most 15770000 is safe today while keeping the protected minimum balance of 9986200.
request_134,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 21831000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 15902500.
request_135,162.25,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 304.8 by the desired completion date or within the 90-day forecast. At most 162.25 is safe today while keeping the protected minimum balance of 500.
request_136,289.09,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 560.4 by the desired completion date or within the 90-day forecast. At most 289.09 is safe today while keeping the protected minimum balance of 1100.
request_137,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 80100 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 71800.
request_138,164.72,affordable_with_plan,partial_payment,2026-04-07:164.72|2026-05-15:1092.22,2026-05-15,none,"Pay 164.72 today and 1092.22 on 2026-05-15; the balance stays at or above 2300 throughout, and the request completes by 2026-06-05."
request_139,779.87,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 2316 by the desired completion date or within the 90-day forecast. At most 779.87 is safe today while keeping the protected minimum balance of 1500.
request_140,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 62832 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 21600.
request_141,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 171600 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 67300.
request_142,677.27,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1263.6 by the desired completion date or within the 90-day forecast. At most 677.27 is safe today while keeping the protected minimum balance of 1700.
request_143,257.61,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Full payment of 12584 becomes safe on 2025-07-15, before the deadline 2025-07-15, and keeps the balance at or above 11300."
request_144,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 233.34 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 600.
request_145,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 217400 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 155400.
request_146,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 449400 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 108600.
request_147,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1129.7 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 900.
request_148,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 22242 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 20000.
request_149,10477.28,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 36652 by the desired completion date or within the 90-day forecast. At most 10477.28 is safe today while keeping the protected minimum balance of 42100.
request_150,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 496.1 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 700.
request_151,24119581.28,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 26999000 by the desired completion date or within the 90-day forecast. At most 24119581.28 is safe today while keeping the protected minimum balance of 31633600.
request_152,4988.26,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 13882 by the desired completion date or within the 90-day forecast. At most 4988.26 is safe today while keeping the protected minimum balance of 11900.
request_153,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 2830.8 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1400.
request_154,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1625.8 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1300.
request_155,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 112500 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 56300.
request_156,3546.09,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Full payment of 43076 becomes safe on 2026-06-15, before the deadline 2026-06-15, and keeps the balance at or above 26900."
request_157,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 23503000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 15714100.
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use payment option payment_option_449: 3 payments of 84101.33 starting 2025-08-07, total 252303.99, completing 2025-10-02 while keeping at least 131400."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Paying 13398 in full today keeps the balance at or above 8700 through 2026-04-04.
request_160,408.19,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1246.3 by the desired completion date or within the 90-day forecast. At most 408.19 is safe today while keeping the protected minimum balance of 1200.
request_161,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 21204000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 23010400.
request_162,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 83923000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 24161100.
request_163,4054230.2,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 19304000 by the desired completion date or within the 90-day forecast. At most 4054230.2 is safe today while keeping the protected minimum balance of 26728700.
request_164,24139146.47,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-03-15,reduce_to:event_15063:415150,"Use payment option payment_option_465: 3 payments of 9366240 starting 2025-02-11, total 28098720, completing 2025-04-08 while keeping at least 29550500."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Paying 80600 in full today keeps the balance at or above 95000 through 2026-07-05.
request_166,2877.94,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,,reduce_to:event_15209:45.2,"Use payment option payment_option_471: 3 payments of 1007.97 starting 2024-12-03, total 3023.91, completing 2025-02-03 while keeping at least 1700."
request_167,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 43802 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 31200.
request_168,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 49380 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 114400.
request_169,40336.17,affordable_later,wait,2024-03-15:41976,2024-03-15,none,"Full payment of 41976 becomes safe on 2024-03-15, before the deadline 2024-05-16, and keeps the balance at or above 18700."
request_170,22015955.48,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 36936000 by the desired completion date or within the 90-day forecast. At most 22015955.48 is safe today while keeping the protected minimum balance of 24715800.
request_171,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1878.8 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 500.
request_172,1209.31,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 10200 by the desired completion date or within the 90-day forecast. At most 1209.31 is safe today while keeping the protected minimum balance of 27200.
request_173,40416.83,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,"Use payment option payment_option_491: 3 payments of 39173.33 starting 2025-11-21, total 117519.99, completing 2026-01-16 while keeping at least 79100."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use payment option payment_option_494: 3 payments of 397.35 starting 2026-04-04, total 1192.05, completing 2026-06-03 while keeping at least 700."
request_175,2090.8,affordable_later,wait,2024-09-15:2346.3,2024-09-15,none,"Full payment of 2346.3 becomes safe on 2024-09-15, before the deadline 2024-10-01, and keeps the balance at or above 1700."
request_176,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1239.7 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 600.
request_177,238.45,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1017.6 by the desired completion date or within the 90-day forecast. At most 238.45 is safe today while keeping the protected minimum balance of 1300.
request_178,2562.77,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 2938.1 by the desired completion date or within the 90-day forecast. At most 2562.77 is safe today while keeping the protected minimum balance of 1400.
