request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_80,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 217500 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 121300.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Paying 2076 in full today keeps the balance at or above 1600 through 2026-10-01.
request_82,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1405.2 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1100.
request_83,11856.68,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 156200 by the desired completion date or within the 90-day forecast. At most 11856.68 is safe today while keeping the protected minimum balance of 37800.
request_84,0,not_affordable,not_recommended,none,,none,"Verification failed closed: the recommended plan did not pass the deterministic safety replay, so no payment is approved."
request_85,1219151.57,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 19304000 by the desired completion date or within the 90-day forecast. At most 1219151.57 is safe today while keeping the protected minimum balance of 6396300.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Paying 46300 in full today keeps the balance at or above 84900 through 2025-11-01.
request_87,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 487900 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 185900.
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-16,none,"Use payment option payment_option_245: 3 payments of 9045.23 starting 2024-06-14, total 27135.69, completing 2024-08-15 while keeping at least 25800."
request_89,10831438.44,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-16,none,"Use payment option payment_option_248: 3 payments of 4768746.67 starting 2025-11-18, total 14306240.01, completing 2026-01-13 while keeping at least 12534700."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Paying 2560 in full today keeps the balance at or above 7600 through 2026-10-04.
request_91,718.08,affordable_later,wait,2024-10-17:1927.2,2024-10-17,none,"Full payment of 1927.2 becomes safe on 2024-10-17, before the deadline 2024-11-15, and keeps the balance at or above 2100."
request_92,681.67,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 34034 by the desired completion date or within the 90-day forecast. At most 681.67 is safe today while keeping the protected minimum balance of 28100.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Paying 1729.2 in full today keeps the balance at or above 1900 through 2026-07-06.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Paying 572 in full today keeps the balance at or above 600 through 2025-03-04.
request_95,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 553000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 145500.
request_96,72147.29,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 90200 by the desired completion date or within the 90-day forecast. At most 72147.29 is safe today while keeping the protected minimum balance of 56500.
request_97,2910.52,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-18,none,"Use payment option payment_option_272: 3 payments of 8145.28 starting 2024-03-19, total 24435.84, completing 2024-05-20 while keeping at least 29700."
request_98,0,not_affordable,not_recommended,none,,none,"Verification failed closed: the recommended plan did not pass the deterministic safety replay, so no payment is approved."
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Paying 18062 in full today keeps the balance at or above 49100 through 2026-10-02.
request_100,18368.18,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 37114 by the desired completion date or within the 90-day forecast. At most 18368.18 is safe today while keeping the protected minimum balance of 32500.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Paying 143500 in full today keeps the balance at or above 187400 through 2026-02-01.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use payment option payment_option_287: 3 payments of 594.88 starting 2026-04-05, total 1784.64, completing 2026-06-04 while keeping at least 900."
request_103,27446.66,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 368300 by the desired completion date or within the 90-day forecast. At most 27446.66 is safe today while keeping the protected minimum balance of 125500.
request_104,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 17204 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 24700.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Paying 53500 in full today keeps the balance at or above 73900 through 2026-09-06.
request_106,538.44,affordable_later,wait,2025-01-17:2207.7,2025-01-17,none,"Full payment of 2207.7 becomes safe on 2025-01-17, before the deadline 2025-02-15, and keeps the balance at or above 1200."
request_107,1711.88,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 2534.4 by the desired completion date or within the 90-day forecast. At most 1711.88 is safe today while keeping the protected minimum balance of 1600.
request_108,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 55308 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 24100.
request_109,0,not_affordable,not_recommended,none,,none,"Verification failed closed: the recommended plan did not pass the deterministic safety replay, so no payment is approved."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use payment option payment_option_310: 3 payments of 7748.69 starting 2025-08-06, total 23246.07, completing 2025-10-01 while keeping at least 11200."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Paying 16625000 in full today keeps the balance at or above 23022800 through 2026-07-02.
request_112,167.5,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 271.7 by the desired completion date or within the 90-day forecast. At most 167.5 is safe today while keeping the protected minimum balance of 500.
request_113,0,not_affordable,not_recommended,none,,none,"Verification failed closed: the recommended plan did not pass the deterministic safety replay, so no payment is approved."
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Paying 65300 in full today keeps the balance at or above 113400 through 2026-04-04.
request_115,16371.71,affordable_later,wait,2024-10-17:80500,2024-10-17,none,"Full payment of 80500 becomes safe on 2024-10-17, before the deadline 2024-11-15, and keeps the balance at or above 38800."
request_116,26598.79,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 241200 by the desired completion date or within the 90-day forecast. At most 26598.79 is safe today while keeping the protected minimum balance of 80300.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Paying 880 in full today keeps the balance at or above 1000 through 2026-10-03.
request_118,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 738.1 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 600.
request_119,14898.34,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 203500 by the desired completion date or within the 90-day forecast. At most 14898.34 is safe today while keeping the protected minimum balance of 151200.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Paying 7714000 in full today keeps the balance at or above 20050300 through 2026-07-05.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Paying 633.6 in full today keeps the balance at or above 800 through 2024-06-01.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use payment option payment_option_347: 3 payments of 7126773.33 starting 2025-08-05, total 21380319.99, completing 2025-09-30 while keeping at least 12588500."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Paying 4076000 in full today keeps the balance at or above 18091200 through 2026-04-07.
request_124,1476.92,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-17,none,"Use payment option payment_option_352: 3 payments of 1076.12 starting 2024-06-11, total 3228.36, completing 2024-08-12 while keeping at least 1600."
request_125,0,not_affordable,not_recommended,none,,none,"Verification failed closed: the recommended plan did not pass the deterministic safety replay, so no payment is approved."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Paying 159600 in full today keeps the balance at or above 129700 through 2026-10-01.
request_127,13033.38,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 23980 by the desired completion date or within the 90-day forecast. At most 13033.38 is safe today while keeping the protected minimum balance of 41000.
request_128,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 25168 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 42600.
request_129,146.56,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 2668.8 by the desired completion date or within the 90-day forecast. At most 146.56 is safe today while keeping the protected minimum balance of 800.
request_130,487.02,affordable_later,wait,2025-01-17:1978.8,2025-01-17,none,"Full payment of 1978.8 becomes safe on 2025-01-17, before the deadline 2025-02-15, and keeps the balance at or above 1400."
request_131,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1855.2 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 1100.
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Paying 379.86 in full today keeps the balance at or above 1100 through 2026-04-05.
request_133,15770000,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 15770000 by the desired completion date or within the 90-day forecast. At most 15770000 is safe today while keeping the protected minimum balance of 9986200.
request_134,7210010.38,affordable_later,wait,2025-09-16:21831000,2025-09-16,none,"Full payment of 21831000 becomes safe on 2025-09-16, before the deadline 2025-10-15, and keeps the balance at or above 15902500."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Paying 304.8 in full today keeps the balance at or above 500 through 2026-10-04.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,Paying 560.4 in full today keeps the balance at or above 1100 through 2024-09-01.
request_137,35578.92,affordable_later,wait,2025-12-17:80100,2025-12-17,none,"Full payment of 80100 becomes safe on 2025-12-17, before the deadline 2026-01-15, and keeps the balance at or above 71800."
request_138,1132.64,affordable_with_plan,partial_payment,2026-04-07:1132.64|2026-04-16:124.3,2026-04-16,none,"Pay 1132.64 today and 124.3 on 2026-04-16; the balance stays at or above 2300 throughout, and the request completes by 2026-06-05."
request_139,1931.6,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-16,none,"Use payment option payment_option_395: 3 payments of 802.88 starting 2024-09-07, total 2408.64, completing 2024-11-08 while keeping at least 1500."
request_140,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 62832 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 21600.
request_141,35716.26,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 171600 by the desired completion date or within the 90-day forecast. At most 35716.26 is safe today while keeping the protected minimum balance of 67300.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Paying 1263.6 in full today keeps the balance at or above 1700 through 2025-03-05.
request_143,4678.88,affordable_later,wait,2025-06-17:12584,2025-06-17,none,"Full payment of 12584 becomes safe on 2025-06-17, before the deadline 2025-07-15, and keeps the balance at or above 11300."
request_144,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 233.34 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 600.
request_145,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 217400 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 155400.
request_146,13798.27,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 449400 by the desired completion date or within the 90-day forecast. At most 13798.27 is safe today while keeping the protected minimum balance of 108600.
request_147,532.88,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1129.7 by the desired completion date or within the 90-day forecast. At most 532.88 is safe today while keeping the protected minimum balance of 900.
request_148,10386.21,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-16,none,"Use payment option payment_option_421: 3 payments of 7710.56 starting 2024-06-14, total 23131.68, completing 2024-08-15 while keeping at least 20000."
request_149,24836.24,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-16,none,"Use payment option payment_option_424: 3 payments of 12706.03 starting 2025-11-18, total 38118.09, completing 2026-01-13 while keeping at least 42100."
request_150,359.79,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-03-19,stop:event_13785|stop:event_13786|reduce_to:event_13787:16,"Use payment option payment_option_427: 3 payments of 171.98 starting 2026-01-06, total 515.94, completing 2026-03-07 while keeping at least 700."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Paying 26999000 in full today keeps the balance at or above 31633600 through 2024-12-02.
request_152,13185.27,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-16,none,"Use payment option payment_option_433: 3 payments of 4812.43 starting 2025-02-12, total 14437.29, completing 2025-04-09 while keeping at least 11900."
request_153,0,not_affordable,not_recommended,none,,none,"Verification failed closed: the recommended plan did not pass the deterministic safety replay, so no payment is approved."
request_154,464.59,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1625.8 by the desired completion date or within the 90-day forecast. At most 464.59 is safe today while keeping the protected minimum balance of 1300.
request_155,62530.87,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 112500 by the desired completion date or within the 90-day forecast. At most 62530.87 is safe today while keeping the protected minimum balance of 56300.
request_156,11182.27,affordable_later,wait,2026-05-17:43076,2026-05-17,none,"Full payment of 43076 becomes safe on 2026-05-17, before the deadline 2026-06-15, and keeps the balance at or above 26900."
request_157,6968905.82,affordable_later,wait,2024-04-18:23503000,2024-04-18,none,"Full payment of 23503000 becomes safe on 2024-04-18, before the deadline 2024-05-15, and keeps the balance at or above 15714100."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use payment option payment_option_449: 3 payments of 84101.33 starting 2025-08-07, total 252303.99, completing 2025-10-02 while keeping at least 131400."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Paying 13398 in full today keeps the balance at or above 8700 through 2026-04-04.
request_160,730.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-16,none,"Use payment option payment_option_454: 3 payments of 432.05 starting 2024-06-13, total 1296.15, completing 2024-08-14 while keeping at least 1200."
request_161,5448115.85,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 21204000 by the desired completion date or within the 90-day forecast. At most 5448115.85 is safe today while keeping the protected minimum balance of 23010400.
request_162,6233037.84,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 83923000 by the desired completion date or within the 90-day forecast. At most 6233037.84 is safe today while keeping the protected minimum balance of 24161100.
request_163,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 19304000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 26728700.
request_164,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 27018000 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 29550500.
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Paying 80600 in full today keeps the balance at or above 95000 through 2026-07-05.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use payment option payment_option_471: 3 payments of 1007.97 starting 2024-12-03, total 3023.91, completing 2025-02-03 while keeping at least 1700."
request_167,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 43802 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 31200.
request_168,42234.73,affordable_with_plan,partial_payment,2026-01-07:42234.73|2026-02-16:7145.27,2026-02-16,none,"Pay 42234.73 today and 7145.27 on 2026-02-16; the balance stays at or above 114400 throughout, and the request completes by 2026-03-16."
request_169,0,not_affordable,not_recommended,none,,none,"Verification failed closed: the recommended plan did not pass the deterministic safety replay, so no payment is approved."
request_170,34275921.57,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-16,none,"Use payment option payment_option_483: 3 payments of 12804480 starting 2025-08-06, total 38413440, completing 2025-10-01 while keeping at least 24715800."
request_171,87.26,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1878.8 by the desired completion date or within the 90-day forecast. At most 87.26 is safe today while keeping the protected minimum balance of 500.
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use payment option payment_option_489: 2 payments of 5304 starting 2024-06-05, total 10608, completing 2024-07-03 while keeping at least 27200."
request_173,0,not_affordable,not_recommended,none,,none,"Verification failed closed: the recommended plan did not pass the deterministic safety replay, so no payment is approved."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use payment option payment_option_494: 3 payments of 397.35 starting 2026-04-04, total 1192.05, completing 2026-06-03 while keeping at least 700."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Paying 2346.3 in full today keeps the balance at or above 1700 through 2024-12-05.
request_176,0,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 1239.7 by the desired completion date or within the 90-day forecast. At most 0 is safe today while keeping the protected minimum balance of 600.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,Paying 1017.6 in full today keeps the balance at or above 1300 through 2026-04-05.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use payment option payment_option_506: 3 payments of 1018.54 starting 2024-12-07, total 3055.62, completing 2025-02-07 while keeping at least 1400."
request_179,10602884.72,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 41648000 by the desired completion date or within the 90-day forecast. At most 10602884.72 is safe today while keeping the protected minimum balance of 41430800.
request_180,38977.31,not_affordable,not_recommended,none,,none,No safe accepted payment completes the request for 66500 by the desired completion date or within the 90-day forecast. At most 38977.31 is safe today while keeping the protected minimum balance of 37300.
